,Description,Class Index
391,\n\nThe toy examples are kind of interesting but it would be more compelling if the dimensionality reduction aspect extended to real datasets.,1
392," The main idea is to leverage results from compressed sensing in order to recover the sparse and low-degree function from a small number of measurements (i.e., function evaluations).",1
393,"\nIs there a specific reason for doing so?\n\n""",1
394,"\n\nIn figure 4a, x-axis should be \""number of landmarks\"".",1
395,"  The proposed workflow consists of the novel two-pass decomposition of a group of layers, and the fine-tuning of the remaining network.",1
396,One wonders whether the analysis was an exercise in using a cannon to open an unlocked door,2
397," \n* Given that many figures have several subfigures, the authors should consider using a package that will denote subfigures with letters.",1
398,The proposal is also poorly written and unfocused with only brief moments of meritorious thinking.,2
399,The lack of theory is painful at times,2
400,The paper is an old fashioned one,2
401," Also, if any visualization (over the chart) can be provided, that\u2019d be helpful to understand what is going on. \n""",1
402, \n\nExperimental results seem promising but I wasn\u2019t fully convinced of its conclusions.,1
403,The proposal is largely descriptive and mostly a fishing expedition. It will be great if they catch some interesting or unexpected fish,2
404,You need to learn how to think inside the box and stop smoking whatever it is you're smoking,2
405, This may significantly change the conclusions drawn from\nthe experiments.,1
406,\nExperiments show that it is suited to create censoring representations for increased anonymisation of data in the context of wearables.,1
407,"\nI would also request the paper not to casually mention the 7x speedup that can be found in the appendix, without quantifying this.[[CNT], [null], [SUG], [MIN]] This is only possible for a large number of 40 Hyperband iterations, and in the interesting cases of the first few iterations speedups are very small.",1
408,I am very enthusiastic about the topic of the article and the applied research design to answer the research questions.,2
409,The writing and presentation are so bad that I had to go home early and spend time wondering what life is about,2
410,This sentence would... put off anyone not being paid to read it,2
411,Pacific oysters and carpenters ants are not 'animals'. Correct this word.,2
412,I now turn to my best guess about what the authors might be doing.,2
413,"Written in parts like an experience track paper, minus the experience",2
414,The description of sampling technique is too long and boring!,2
415,I am afraid this manuscript may contribute not so much towards the fields advancement as much as toward its eventual demise.,2
416,"\n2) though the non-saturating variant (see Eq. 3) of ``standard GAN'' may converge towards a minimum of the Jensen-Shannon divergence, it does not mean that the minimization process follows gradients of the Jensen-Shannon divergence (and conversely, following gradient paths of the Jensen-Shannon divergence may not converge towards a minimum, but this was rather the point of the previous critiques about ``standard GAN''). ",1
417,"The data as presented is not very convincing, even to a believer.",2
418,"Not now, not ever",2
419, One more sample is used for testing and an additional cancer control which is not lung cancer is also used to evaluate performance.,1
420,However I deplore the fact that this paper has been created at all,2
421," How is the accuracy measured, e.g. with respect to the number of objects mentioned in the sentence, the accuracy of the attribute values, the deviation from the ground truth sentence (if so, what is the evaluation metric)? ",1
422,"I read the first 6 pages of the paper. […] Sorry, I cant finish reading this paper. I certainly will not recommend anyone else.",2
423, Just because a network performs averaging of different paths and individual paths perform worse than sets of paths doesn't imply that ensembling as a mechanism is in fact the cause of the performance of the entire architecture.,1
424, \nA subgoal is defined as a linear transformation of the distance traveled by an agent during a transition.,1
425,"I'm really sorry about this reviewer. If you'd like, I can get you a new one. - Edito",2
426,The Discussion section of the paper is neither informative nor enlightening and is certainly theoretically questionable,2
427,Line 306. The sentence follows a bit of a Yoda-esque grammar,2
428," While this might be (known) intuition that people rely on when learning deep generative models, it is important to be able to test it, as this paper does.",1
429," Almost the same method was proposed in K.A. Nguyen, S. Schulte im Walde, N.T. Vu. Integrating Distributional Lexical Contrast into Word Embeddings for Antonym-Synonym Distinction. In Proceedings of ACL, 2016.",1
430," \n\nPros:\n1, The paper is well presented and is easy to follow.",1
431,  Can this be formalized?,1
432,   Of course then inference involves approximating the finite posterior over inducing function values U and the paper make use of the standard Gaussian approximations.,1
433,I think the audience will eat him alive. But I want to be there to hear it.,2
434,What do the authors mean by one standard error?,2
435," I would like to be able to give this paper the higher score it may deserve, but some parts first need to be further explained.",1
436,"\n\n\nAfter revision:\nSome of my comments were addressed, and some were not.",1
437,"In a revised form, it would not look out of place in a scholarly journal.",2
438,"The paper is okay, its not wow but its hard to reject it.",2
439," \nSince the system is presented without any comparisons to alternatives for any of the individual components, it doesn't really shed any light on the significance of the various modeling decisions that were made.",1
440,"The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup.",2
441,"""The authors offer a novel version of the random feature map approach to approximately solving large-scale kernel problems: each feature map evaluates the \""fourier feature\"" corresponding to the kernel at a set of randomly sampled quadrature points.",1
442,Was the white noise random?,2
443,\n- Skipping behavior can be controlled via an auxiliary loss term,1
444,"It is difficult to imagine any paper overtaking this one for lack of imagination, logic, or data—it is beyond redemption",2
445," The authors also conduct experiments on the Omniglot and mini-Imagenet data sets, improving on the state of the art.",1
446,\n\nPros:\n(+) The paper is well written and the method is well explained,1
447,"The paper is overlong, very verbose and contains unnecessary repetition.",2
448,Ah - now I see a glimpse of promise in this paper - Five pages into the documen,2
449,"Did all 5 authors say,Yes, this is a piece of work I am proud to have my name on?",2
450,"\n\nThe paper concludes with \""Overall the complex-valued neural networks do not perform as well as expected",1
451,"  In the experimental section used to validate the main hypothesis that the deep networks have positive curvature decision boundaries, there is no description of how these networks were trained.",1
452,"The biggest problem with this manuscript, which has nearly sucked the will to live out of me, is the terrible writing style",2
453,This theoretical framework is dark and depressing. But it fits your study well,2
454,"Looking at the general poor quality of the paper, Im surprised by the list of the co-authors",2
455,\n - Why does ROUGE-L seem to work better than ROUGE-1 or ROUGE-2 as the reward?,1
456," If my understanding is correct, the LTMN is trained to predict the baseline solver's output.",1
457,"I nearly said reject, but then I recalled that I have a hangover and am feeling grumpy",2
458,To me the question is uninteresting,2
459,This paper is fluently written and meticulously researched. I do not recommend it for publication.,2
460,the sthanthard of writing is impercable,2
461,"Your piece is very well written and researched. I think the is interesting, but not particularly...",2
462,I was somewhat disappointed after reading the MS; I was initially expecting some lighting hit but nothing really happened in the end.,2
463,revise this paper at your own risk ,2
464,"Probably switching to Bayesian stats will be too difficult for many scientists in the less intelligent fields (e.g., psych)",2
465,Lots of hand waving in this Discussion,2
466," However, it is unclear that overall training time can be reduced with the help of this technique.",1
467,The reported mean of 7.7 is misleading because it appears that close to half of your participants are scoring below that mean ,2
468," Indeed, this constant can be easier obtained if the gradient exists, but this is not a requirement.",1
469,"hile it doesnt make for a flashy title (which the authors like more than British tabloids do), there is an alternative explanation",2
470," Moreover, I found the figures very helpful -- the authors clearly took a lot of time into clearly depicting their work!",1
471, \n\nOne challenge in assessing the experimental claims is that practical neural networks are nonsmooth; the quadratic model developed from the hessian is only valid very locally.,1
472,"Sorry for our long silence, due to some perplexity on our side at reading your manuscript.",2
473,The paper is ill-informed and poorly argued. It is not suitable in my view for this or any other...,2
474,A different paper would be a good paper,2
475,"I was originally very excited to review this paper, since such a bridge would span uncharted lands – here be dragons!",2
476,"\n - Table 3: The differences here are quite small and perhaps the least compelling, but the same trends hold.\n""",1
477,I am not very excited about this. There must be better ways to spend your money. -Grant review result. Full review,2
478,This sort of presentation issue continued through the first few sections (after which I was reading with decreasing attention,2
479,The paper is presented as a rather undigestible and tortuous collection of disparate results,2
480,\n-Which epsilon did you use for evaluation of DDQN in the experiments?,1
481,"The authors merely used somewhat
bigger guns than previous studies and generated nothing but more smoke.",2
482,"\n\nIn addition to the theoretical results , the authors conduct a detailed study of their algorithm on CIFAR10",1
483,\n\nThe unified framework is very helpful since it points out equivalences between the methods and makes the implementation of eps-LRP and DeepLIFT substantially more easy on modern frameworks.,1
484,It reads like papers often do when they are written in LaTeX. Reject.,2
485, Is there a way to support this experimentally?,1
486,This code sample cannot be adequately described without the use of strong language.,2
487,This would seem to constitute the very minimum basic scientific requirement for attempting to publish a body of (unoriginal) data,2
488, This latter technique is similar to randomized coordinate descent.,1
489, The experiments with Baird's and CartPole were both convincing as preliminary evidence that this could be effective. ,1
490,"\nThe acknowledgements should not be included here either. \n\n""",1
491," Also, do the simulated speedup results in the appendix account for potentially stopping a new best configuration, or do they simply count how much computational time is saved, without looking at performance? The latter would of course be extremely misleading and should be fixed.",1
492," \n\nNotice the following suspiciously similar paragraphs from the two papers:\n\nFrom \""MAINTAINING COOPERATION IN COMPLEX SOCIAL DILEMMAS USING DEEP REINFORCEMENT LEARNING\"":\nWe also look at an environment where strategies must be learned from raw pixels. ",1
493," \nThe experimental results seem promising, but the presentation can be improved.",1
494,I am sorry if I am missing something obvious here but this is not my area of work.,2
495, The theorem stated in the paper seems to provide an interesting link between SR and the Laplacian.,1
496,\nThe improvement w.r.t. other methods seems marginal.,1
497,"Since the paper is mathematically empty &amp; provides no new ideas or findings, I see no reason to publish it",2
498,This paper is written.,2
499,The arguments in the paper are compelling but not convincing,2
500," Intuitively, the diagram shown in Figure 4 works well for 3 classes in dimension 2.",1
501,"…somewhat anachronistic–this study would have been really interesting 10-15 years ago, but not it seems quite out of date.",2
502,"Large parts of the manuscript read now more like a Master thesis than a scientific paper. I hope that the more experienced co-authors - if there are any - can help with this aspect of style. 
",2
503,My recommendation for the authors is therefore to shelve the manuscript,2
504,"I suspect it may represent the 'off-cuts' of some other scholarly project, scraped together from the workship floor to make up another publication",2
505," Yes this algorithm sees improvements across Atari, but it's not clear why/if this is a step change versus simply increasing the amount of replay or tuning the learning rate.  (Actually I do believe this algorithm can demonstrate deep exploration... but it looks like we're not seeing the big improvements on the \""sub-human\"" games you might hope.)",1
506,The regression analysis is rubbish. Let's see what happens when you do this properly.,2
507,  A minimal version of the second modification would be having a bot that has access to a defogger play against a bot that does not have access to one.,1
508, The papers encode the mode as a hidden \nvariable in a stochastic neural network and suggest stepping around posterior \ninference over this hidden variable (which is generally required to \ndo efficient maximum likelihood) with a biased importance \nsampling estimator.,1
509,\n- Figure 4 is impossible to read in print.,1
510,I recommend the publication even if I am not impressed,2
511, \n\n2. The authors proposed a simple method to ground the language on visual input.,1
512,"The authors use a log transformation, which is statistical machination, intended to deceive",2
513,The chapter is too scholarly and too casual,2
514," \n\nThe studied problem in this paper seems to be interesting, and with potential application in real settings like mobile phone-based learning.",1
515,"\u00a0\u00bb \n\n\u00ab\u00a0a predictive state is defined as\u2026 , where\u2026  is a vector of features of future observations and ...  is a vector of\nfeatures of historical observations.",1
516, The paper is very well written.,1
517, \n- I did not see Table 1 referenced in the text.,1
518,This abstract is based on using intelligent transportation systems (whatever that is). This aim is not fulfilled by the paper,2
519,\n* Some typos\n    - page 4: some duplicate words in discriminative embedding session\n    - page 4: auxliary -> auxiliary\n    - page 7: tescting -> testing\n\n,1
520,I doubt that its worth publishing a handful of graphs that few would find surprising and that anyone...,2
521,"Line 156-160; this is the only correct, sensible and interesting finding of the paper.",2
522,"I recommend acceptance, provided the editors are willing to stretch the standards for publication a bit h/",2
523," I believe this observation, though not entirely novel, will inspire many researchers to study catastrophic forgetting and propose improved strategies for handling these issues.",1
524,"\n\nMinor points:\n- Typo in Eq 10\n- Typo on page 6 (/cite instead of \\cite)""",1
525,"\n- In table 2, it is difficult for me to see if the difference between unsupervised tree-lstm and right-branching tree-lstm (0.3%) is \u201cgood enough\u201d.",1
526,"Limited scholarship, flawed design, and faulty logic engender no enthusiasm whatsoever",2
527,"It is claimed that readability correlates with perplexity, so it would be interesting to see perplexity results for the models.",1
528,Sprinkled here and there are some things that are more or less correct. But it is all very confused.,2
529,I dont believe in simulations,2
530,Is this a joke?,2
531,Have you no command of the English language?,2
532, And I am not also sure how hard this model is being converged in all experiments (compared to LSTM or supervised tree-LSTM).\,1
533,"\n\nThere is addition experimental data reported which I didn't find very conclusive nor relevant to the analysis, particularly the attention heat map and the effect of apples and texture.",1
534,Someone has been foraging in theory and has managed to learn how to mangle simple concepts and hide them behind pretentious empty prose,2
535," Furthermore, given its simplicity, I would expect a comparison against scheduled sampling.",1
536,"\n-\tIn Figure 2, the authors picked four words to show that valence is helpful to improve Glove word beddings. It is not convincing enough for me.",1
537,"\n\n- In the black-box vs. white-box scenarios, can the attacker know the GAN parameters?",1
538,"Finally, I have substantial criticisms, in addition to the disappointment of seeing hoary old...",2
539,I am sympathetic to what the author is trying to do here - Reviewer ,2
540," \n\nOverall: I like the idea this paper proposes,",1
541,"\n\nTo make the paper better, more empirical results are needed.",1
542,Nobody in their right mind would ever suggest such a model,2
543,Your abstract wouldnt have made me want to read it had I not been a reviewer.,2
544, the examples of knowledge storage from bAbI in the supplementary material are also underwhelming as the model essentially just has to learn to ignore stopwords since the sentences are so simple.,1
545,"\n\nI found the math to be a bit problematic. For example, L_d in (4) involves a max operator. Although I understand what the authors mean, I don't think this is the correct way to write this. (5) should discuss the min-max objective.",1
546,"""This paper presents an interesting idea to word embeddings that it combines a few base vectors to generate new word embeddings. ",1
547,?\n* The term A(Z) in the objective function can be more clearly described,1
548,"the correlations are not that strong (e.g., p = .022)",2
549,You need a comma here. Do they not have commas at your institution or do they just cost a lot?,2
550,"I have read this paper several times through, and I have nothing to say in its defense.",2
551,Your model is a black hole from which no light escapes,2
552,"""The paper seems to be significant since it integrates PGM inference with deep models.",1
553,  This is a minor modification.,1
554," After reading the authors responses and consulting the differences between the versions of the paper, my review remains the same.",1
555,"""Make SVM great again with Siamese kernel for few-shot learning ",1
556," If Lipton's method would be expensive to apply to large-scale\nsettings such as the Atari games, the authors could also compare with that\nmethod in smaller and simpler problems.",1
557," but this manuscript should be improved prior to publication.""",1
558,This paper has the same relevance as a paper in astronomy which places the earth as the centre of the universe,2
559,It (paper) has a kind of self-help quality to it,2
560, Both these contributions are important in the effectiveness of the overall algorithm.,1
561,"""The interesting paper provides theoretical support for the low-dimensional vector embeddings computed using LSTMs or simple techniques, using tools from compressed sensing.",1
562,"Is Tartarstan a magical land where they make the worlds tartar sauce? If not, I can only assume the author is referring to Tatarstan",2
563,"Also, the manuscript is very tedious and reads like an unedited thesis chapter.",2
564,The author should abandon the premise that his work can be considered research.,2
565,\n- Limited applicability to settings where >> 100 configurations can be run fully,1
566,Reviewer : I do not have any additional comments. I can let this manuscript pass.,2
567,You have two many misprints,2
568, Using these modifications the authors propose an algorithm (Algorithm 2 in appendix) to train such models efficiently.,1
569,"You will see that Reviewer 2 has slightly missed the point, so please dont pay too much attention to their comments in your revision. - Edito",2
570,"On my opinion, the approach the authors are using is trivial and the problem they are solving is made up.",2
571,"\n\nAside from the time complexity from the inside-outside algorithm (as mentioned by the authors in conclusion), the comparison among all pairs of spans is O(n^4), which is more expensive.",1
572,This looks like a very early draft,2
573, \nI think that the paper should be submitted to a journal or conference in the application domain where it would be a better fit.,1
574,\n\nPaper Strengths:\n- An incremental yet interesting advance in geometric CNNs.,1
575," For scheme-A, the authors show the performance of the student network under many low precision regimes and different depths of teacher networks.",1
576, Below are some less important comments.\n\nSec 5.1: great results!,1
577,"This paper reads like a womans diary, not like a scientific piece of work",2
578,I would have preferred to read a meta-analysis,2
579,"  In the former case, the statement \u201cx is uniformly sampled from X\u201d does not make sense because X is practically infinite.",1
580,Find your inner nerd—it must be a big part of you—bind and gap it and then dump it in the ocean tied to a large rock. -Referee ,2
581, \n\nMinor comments:\n* MatchA and PredictPi models are not introduced under such names,1
582,  Experiments include both artificial data and real data.,1
583," By the proposed representation, the authors are able to apply image classification methods (supervised or unsupervised) to subgraph classification.",1
584, This opens nice perpectives for better and faster inference.,1
585," In a similar vein, you should be clear about the connections to Lipton et al 2016 as another method for approximate Bayesian posteriors in DQN.",1
586," I feel if comparing L=2 vs L=3 is hard, the authors should be more up front about that in the introduction/abstract",1
587,"  Experiments are conducted on the task of image classification for a couple well-known DNN architectures (VGG and Resnet) to show a speedup of runtime in testing, significant compression of the network, and minimal degradation in performance.",1
588,I recommend the publication even if I am not impressed - (via shitmyreviewerssay,2
589,"  If it had better (e.g. ROC curve) evaluation and some modeling novelty, I would rate it higher still.",1
590," Experiments need to be done to show that a full dependency parse is actually required, rather than simply looking for co-occuring words.",1
591," The idea of structured matrices in this context is not new, but the diagonal block structure appears to be. ",1
592,  I found the formal presentation of the model reasonably clear the the empirical evaluation reasonably compelling.,1
593,"\n\n7. Figure 3 is missing the sub-labels (a), (b), (c), (d).",1
594, \n\n2. Baselines are not necessarily sufficient,1
595, Evaluation metrics include repeated latency to the goal and comparison to the shortest route.,1
596,  This algorithm can be useful because correct annotation of enough cases to train a deep model in many domains is not affordable.,1
597,As a service to the authors I have decided to try to convey a sense of the extreme nature of the problems encumbering this submission,2
598,"\n\nCons:\n- PLAID seems designed to work with task curricula, or sequences of deeply related tasks; for this regime, classical transfer learning approaches are known to work well (e.g finetunning), and it is not clear whether the method is applicable beyond this well understood case.",1
599," However, the method is not properly motivated.",1
600,Arrestingly Pedestrian is both insulting and a great band name,2
601," Also, to be fair when discussion the results, the authors should say that simple concatenation outperforms the single sensor paradigm.",1
602,"You will see that Reviewer 2 has slightly missed the point, so please dont pay too much attention to their comments in your revision. -E",2
603,"  However, the construction seems artificial and these functions don't seem to be visually very complex.",1
604, How long should be the training to ensure a good and stable convergence of the method?,1
605,"The word asses should read assess 
",2
606,I just dont get the point of this,2
607,I can see that the manuscript has archival value,2
608,This literature review is nothing more than a merry dance around the books,2
609,"The underlying science here is quite interesting, but the presentation does its best to disguise it",2
610, This is very important because the main appeal of this work is its applicability to new domains with scarce data which have far fewer words and hence the above scenario is more likely to happen.,1
611, But I was surprised that the authors didn\u2019t use it in the second experiment (reverse dictionary).,1
612," Figure 4 could have answered this question, however it is not clear from the paper whether the CP-ALS procedure was followed by fine-tuning or not.",1
613, \n\nExperiments -- why/how would you have distorted test data?,1
614, \n\nLearning both inverse and forward models is very effective.,1
615,English need to be corrected by an english speaker,2
616," Somewhat unsatisfying, longer-term prediction results into weaker game play.",1
617,\nI also could find the details on how figure 1 was produced,1
618,"Frankly, I read the manuscript about two weeks ago and don't remember the context, nor did I cross-walk one part of the essay with another to validate the thought.",2
619, More things could have been considered.,1
620,The map on the article is entirely unscientific. The data itself is also very dubious.,2
621," Using a single average action marginalization is on par with MC sampling, which the authors attribute to the low quality of the Q estimate. ",1
622,"\nBut I do not catch the details of the user study, e.g., the number of users.",1
623, The discriminator is similar and conditions on the generator's output and the masked sequence to output the probability of a word in the generator's output being fake or real.,1
624,\n- It is not clear to me what the baselines actually are or how I can found more info on those.,1
625," Also, I feel algorithm 1 is spurious given that it merely switch by systems.",1
626,(although I admit that here is a possibility they might turn out to be correct in that they are guessing right),2
627," So, I'd really urge the authors to extend this evaluation.",1
628, I am raising my score a bit higher.,1
629,This result would be great if it were true,2
630,. How does the greedy step affect training and decoding?,1
631,Uninteresting. Unpublishable. Reject.,2
632,editor] I will make a final determination without ... review (which will assuredly be positive unless you go all Trump on someone).,2
633,What were you thinking?,2
634,"Moreover, it is very difficult to see the actual contribution this manuscript will have",2
635, \n\n- The paper frequently overclaims.,1
636,.\n* The description of the 2-D histogram on p.4 is not clear.,1
637,"I have 3 main objections to this paper: it is self-contradictory, it's functionally obsolete, and it's been submitted to the wrong journal",2
638, \n\nCons/questions:\n1. The motivation of the model choice of q is not clear.,1
639,"your figures are provided at 72 dpi, which is fine for childrens games, but professional quality images require 300 dpi",2
640,"For a section on thought, very little seems to have gone into it.",2
641,"The system described in the manuscript is inherently confusing. Despite re-reading, its basic elements did not make sense.",2
642, This is not a professional ML paper looks like.,1
643,"The scales appear to be not divided into quartiles as stated, but rather are based on the distribution of the data (into quartiles).",2
644,"You aimed for the bare minimum, and missed!",2
645,\n\nPros/cons\nPros\n-Adresses an important problem in representation learning,1
646,"This paper reads like a womans diary, not like a scientific piece of work",2
647,\n\nOther questions and comments:\nThe ablation shows 0.7 improvement on EM with mixed objective.,1
648,I dont believe in simulations,2
649, The reported tables seem to ignore a lot of the relevant information,1
650,\n\n*Clarity*\nThe paper is in general well written and easy to understand.,1
651,"There is a lot of terminology flung around such as 'false negatives', 'false positive', 'median'",2
652,It would be a good idea to put the test results directly on Fig. 4 as it does not ease reading currently (and postpone ResNet-56 in the appendix).,1
653,Do we really need concepts and theories to discuss inequalities among young adults?,2
654,\n\nExperiments suggest that it can result in better structured predictors than training models directly via backpropagation gradient descent. ,1
655,Was the white noise random?,2
656,"  Another possible reason is that classes in MNIST and CIFAR10 are already very distinctive, so are more robust to noise.",1
657,"Written in parts like an experience track paper, minus the experience",2
658,I have reviewed many manuscripts in my career and I have never seen so many repeated mistakes of this...,2
659," \n\n+ At the very least the model does seem comparable in performance to various recent methods (as per Table 2), however as noted below the gains are marginal and I have some questions on the setup.",1
660,The paper raises the suspicion that the author has not been trained as a historian,2
661,The whole premise just reverted the biosensor field back 20yrs,2
662,This would seem to constitute the very minimum basic scientific requirement for attempting to publish...,2
663," I guess that is because of the nature of NLI, but it isn't 100% clear why NLI benefits so much more than QA from definitional knowledge.",1
664,The paper failed to make the reviewers more than semi-excited ,2
665,"\n\n- one would expect more information to strictly improve performance,\n  but the results are a bit mixed (perhaps due to convergence to local optima and both actor and critic being learned at same time, \n  or the Gaussian assumptions, etc.).",1
666," This manuscript doesn't show that every local minimum of these two types of deep networks is a global minimum, which actually has been shown by existing works like Kawaguchi (2016) with some assumptions.",1
667, \n\nSignificance \n\nThe approach outlined in this paper may spawn a new research direction.,1
668,"Concerning the discussion, again the merits of the work are downplayed to a point that its almost...",2
669,\n\n* The author's main claim is that retrieving background knowledge and adding it when reading text can improve performance a little when doing QA and NLI.,1
670,"The following discussion seems to ignore this major flaw, which turns mere arm-waving into Olympic-level calisthenics",2
671,\n\n\nMy Comments:\n\nThis paper is a direct application of adversarial learning to the task of reading comprehension.,1
672, This only means that more understanding is needed as to how TR can be combined with SGD.,1
673,No respectable biochemist would be seen in the same county as these data.,2
674,I found the use of the evolutionary theory problematic. This is a highly contested theory and the authors do not attend to the major flaws,2
675,"  the second part was not clear to me, and the last part does not seem very useful.",1
676, Other AnonReviewer also point out some similar work.,1
677,Startlingly naive and jejeune. Obviously a poorly tailored master's thesis.,2
678,An effort as I might imagine necessary to make this paper work (beyond flagging the insanity) would require a Swiftian talent for irony,2
679, The work provides a good overview about how to apply new reinforcement learning techniques for sequence generation.,1
680,The work that this group does is a disgrace to science,2
681,"\nFor example, the existing method and proposed method seems to be mixed in Section 2.",1
682,"\"" Why would it overfit more? Simply because training was more stable? Couldn't you prevent overfitting by regularizing more?\n\n* ",1
683, The good aspect of this paper is that it has some performance improvements.,1
684," The proposed method is novel, but perhaps the most interesting aspect of this paper is that they demonstrate that \u201cDQNs  are susceptible to periodically repeating mistakes\u201d.",1
685, This figure only shows that training shallower networks is more effective than training the deeper networks on GPU.,1
686," \nFor example: \u201cThe effort to use Neural Convolution Networks for text classification tasks is justified by the possibility of appropriating tools from the recent developments of techniques, libraries and hardware used especially in the image classification \u201c",1
687, And propose a challenge that addresses these issues and allows controlling different aspects of image variability.,1
688,"\n-p14 left side, 4th cell up, \""Cross-AE\""-->\""ARAE\""[[CNT], [CLA-NEG], [CRT], [MIN]]\n\nThis is a very nice paper with a clear idea (regularize discrete autoencoder using a flexible rather than a fixed prior), that makes good sense and is very clearly presented.",1
689,These snotty kids in quantum information,2
690,"This is an outline of a paper, and not a fully-thought, well-organized, thoroughly-discussed paper. [...",2
691," With some filling out, this could be a great paper.""",1
692," The authors make a useful comparison between these bounds in Section 3 showing that none is dominating the others, but still analyzing their properties in terms of structural properties of the weight matrices.",1
693,I wasn't sure which problem the author is solving &amp; vice verse it wasn't clear what problem the solution is intended to solve or explorer,2
694,\n\nCons:\nLacking in theoretical analysis or significant experimental results.,1
695,Please also consider making the submission looking less like an advertising booklet rather than a research paper,2
696,"Words are used inappropriately—I count, for example, 13 instances of 'unique', but it is used correctly only once.",2
697,"hD project paper submitted one year after successful defense: 

Student should get a new PhD project",2
698,"First, the paper is for a large part incomprehensible",2
699,"Starting from the title, the paper is a complete nonsense. […] . The paper is a long, verbose and unnecessary description of obvious or well-known stuff. […]. For the reasons above, rejecting the manuscript is a moral obligation.",2
700,I find myself disagreeing with most of this papers conclusions,2
701,"At other points the authors default to an chronological narrative that can be useful at times (i.e. page 9), but here seems to distract from their overall narrative.",1
702,"The manuscript makes 3 claims: The 1st we've known for years, the 2nd for decades, the 3rd for centuries.",2
703,"The text is overly expansive, desultory, and often diaphanous, so that the raison d'être of an overarching theoretical structure is neither pellucid nor convincing.",2
704," It would be more informative to focus in the main text on the aspects that inform us about f, and put the training details in an appendix.",1
705," Moreover, I would be very curious about ways to better integrate causality and generative models, that don\u2019t focus only on the label space.",1
706,To Review of the article was a challenge which I accepted. In fact I regret this decision,2
707,"However, the applicant seems to have run out of steam before he developed a detailed plan and completed the proposal. This is unfortunate",2
708, \n\nThe paper is grounded on a solid theoretical motivation and the analysis is sound and quite interesting.,1
709,"Unfortunatelly [sic], the paper is very shallow. The results are at the level of a naive master thesis",2
710,\n\nI don't think any of the experiments reported actually refute any of the original paper's claim.,1
711,"Not a well prepared application, full of mistakes &amp; lacking some necessary preliminary data. Not at all fundable.",2
712,"lthough the benefits of unprofessional reviews include gifs, laughts &amp; shared gasps of horror, this important new paper by  and  lays out the drawbacks:  In the interest of scholarly rigour we will quote from the 'highlights",2
713,"This is a very difficult paper to review, and difficult - even painful - to read",2
714,"Unfortunately, the paper offers little more than vocally arguing. h/",2
715,It appears that publication in any form would be premature at this time.,2
716,It amounts to story-telling ! ,2
717, \n\nThis paper is a very difficult for me to assign a final rating.,1
718," \n\nOverall, the proposed methods seems to provide little added value to the large amount of predictive methods proposed so far for prediction in neurodegenerative disorders.",1
719,The writing is not at school level,2
720," The paper shows marginal improvements on image classification datasets (2% on CIFAR, .2% on ImageNet) over the ResNeXt architecture that they build on.",1
721, \n3. The experiments are toyish and not convincing.,1
722," Perhaps this is facilitated by the SQuAD leaderboard, which makes it simple to list related work.",1
723,This [sentence] construction should be reserved for police procedurals and bad Mafia movies.,2
724,"n\n2. Only two datasets were considered, both extremely simple: generating MNIST digits is nearly a toy task nowadays.",1
725, So I think that the motivation behind introducing this specific difference should be clear.,1
726, While the exposition of the paper can be improved in my view this is a neat and concise result and merits publication in ICLR.,1
727,"This is an interesting manuscript, not because of its results, but because of its complete ignorance of due scientific process",2
728,"While the authors do pick a good problem, thats where the quality of the paper ends for me.",2
729,""".\n\n\nMinor comments:\n- page 1: The reference list could also include  http://www.mitpressjournals.org/doi/abs/10.1162/NECO_a_00934 and  https://arxiv.org/abs/1510.02777\n- ",1
730,This is an area ripe for future research. Recommendation: Rejec,2
731,\n\nThe second observation is much less clear to me.,1
732,This is depressing. So much work with so little science,2
733,\n* Figure 1 that introduces them contains typos.,1
734,The analyses are too statistic - submissio,2
735,"\n\nSection 2.2 describes a way to compress the label embedding representation, but it is not clear if this is actually used in the experiments. h is never discussed after section 2.2.",1
736,"\nThis leads to improved learning / exploration, notably better than the similar approach bootstrapped DQN.",1
737,default settings?? huh???,2
738,Further utilize it to study one of the important problems in crowdsourcing - How much redundancy is required in crowdsourcing and whether low redundancy with abundant noise examples lead to better labels.,1
739,I recommend the publication even if I am not impressed,2
740,"We invited 18 reviewers and after quite a long time, only one reviewer had agreed. That review is now...",2
741,"\n\n1. The accuracy of the training set is guaranteed to ascend because network morphism is smooth and number of params is always increasing, this also makes the search greedy , which could be suboptimal.",1
742,"\n\nPage 5, the auxiliary loss on reward prediction seems appropriate, but it\u2019s not clear from the text and experiments whether it actually was necessary.",1
743,\nThere are also quite a few misspellings. ,1
744,"  Graph structure is determined by program abstract syntax tree (AST) and next-token edges, as well as variable/function name identity, assignment and other deterministic semantic relations.",1
745," \n\nDespite mentioning matrix completion in the introduction and comparing to work of Ge et. al., the paper does not seem to have strong implications for matrix completion.",1
746, Do these correspond with some known models?,1
747,"Who are and where did they come from? That is, why was this obsucre and arbitrary method chosen?",2
748,There are not enough headings.,2
749,Pity about the main thesis. - First Sentence of the Revie,2
750,"  Furthermore, since it uses non-binary operations, it is not clear if this rotation may have some benefits (in terms of resource efficiency) over simply keeping the input layer non-binarized.",1
751, \n\nReview summary:\n\nI think this paper is interesting.,1
752,This paper is so devoid of content it should be rejected outright.,2
